Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,14-Jan-2025,30-Jan-2025,48424.00,49250.00,48351.10,48971.05,49105.00,48971.05,118509.00,868552.00,2399970.00,-93900.00,48729.15
BANKNIFTY,14-Jan-2025,27-Feb-2025,48750.00,49574.55,48750.00,49320.75,49439.00,49320.75,6560.00,96799.97,741690.00,-12660.00,48729.15
BANKNIFTY,14-Jan-2025,27-Mar-2025,49165.25,49906.00,49165.25,49652.90,49795.00,49652.90,1779.00,26428.31,123360.00,3990.00,48729.15
BANKNIFTY,15-Jan-2025,30-Jan-2025,49120.00,49237.45,48630.15,48892.55,48909.00,48892.55,76499.00,561494.00,2360430.00,-39540.00,48751.70
BANKNIFTY,15-Jan-2025,27-Feb-2025,49449.00,49566.25,48997.90,49240.95,49240.00,49240.95,4101.00,60646.66,741120.00,-570.00,48751.70
BANKNIFTY,15-Jan-2025,27-Mar-2025,49792.50,49902.10,49350.00,49576.60,49569.85,49576.60,1126.00,16771.08,124980.00,1620.00,48751.70
BANKNIFTY,16-Jan-2025,30-Jan-2025,49300.10,49670.00,49134.75,49443.95,49500.00,49443.95,101145.00,750423.22,2379795.00,19365.00,49278.70
BANKNIFTY,16-Jan-2025,27-Feb-2025,49500.00,49982.90,49500.00,49781.50,49840.10,49781.50,6504.00,97172.40,763980.00,22860.00,49278.70
BANKNIFTY,16-Jan-2025,27-Mar-2025,49901.00,50325.15,49901.00,50120.95,50166.50,50120.95,1196.00,17988.64,129810.00,4830.00,49278.70
BANKNIFTY,17-Jan-2025,30-Jan-2025,49201.00,49288.40,48425.00,48685.65,48711.95,48685.65,127070.00,928776.72,2428485.00,48690.00,48540.60
BANKNIFTY,17-Jan-2025,27-Feb-2025,49689.00,49689.00,48789.95,49032.25,49056.30,49032.25,10007.00,147270.51,841860.00,77880.00,48540.60
BANKNIFTY,17-Jan-2025,27-Mar-2025,49850.05,49850.05,49141.25,49394.05,49401.00,49394.05,2118.00,31398.52,133080.00,3270.00,48540.60
BANKNIFTY,20-Jan-2025,30-Jan-2025,48902.10,49815.00,48774.90,49512.90,49499.00,49512.90,131269.00,972178.88,2384220.00,-44265.00,49350.80
BANKNIFTY,20-Jan-2025,27-Feb-2025,49150.00,50112.65,49117.95,49820.80,49805.50,49820.80,9619.00,143416.11,867420.00,25560.00,49350.80
BANKNIFTY,20-Jan-2025,27-Mar-2025,49601.00,50455.05,49483.15,50174.70,50150.00,50174.70,2243.00,33713.25,140760.00,7680.00,49350.80
BANKNIFTY,21-Jan-2025,30-Jan-2025,49555.05,49699.95,48606.05,48763.25,48766.05,48763.25,138774.00,1020020.05,2365770.00,-18450.00,48570.90
BANKNIFTY,21-Jan-2025,27-Feb-2025,49949.95,49968.55,48924.55,49059.70,49061.50,49059.70,16939.00,250274.43,1127730.00,260310.00,48570.90
BANKNIFTY,21-Jan-2025,27-Mar-2025,50365.00,50365.00,49290.00,49448.35,49431.80,49448.35,3356.00,49959.73,152100.00,11340.00,48570.90
BANKNIFTY,22-Jan-2025,30-Jan-2025,48860.15,48950.00,48185.00,48887.65,48871.00,48887.65,126251.00,920831.54,2304795.00,-60975.00,48724.40
BANKNIFTY,22-Jan-2025,27-Feb-2025,48831.00,49240.00,48511.10,49170.45,49175.15,49170.45,13720.00,201167.06,1267860.00,140130.00,48724.40
BANKNIFTY,22-Jan-2025,27-Mar-2025,49406.75,49600.00,48872.10,49538.35,49535.40,49538.35,2419.00,35726.31,162120.00,10020.00,48724.40
BANKNIFTY,23-Jan-2025,30-Jan-2025,48900.00,49022.65,48586.45,48696.00,48671.00,48696.00,85814.00,627856.25,2319075.00,14280.00,48589.00
BANKNIFTY,23-Jan-2025,27-Feb-2025,49109.55,49321.10,48909.95,49019.00,48999.95,49019.00,11247.00,165644.36,1327170.00,59310.00,48589.00
BANKNIFTY,23-Jan-2025,27-Mar-2025,49481.95,49664.80,49280.00,49365.30,49355.00,49365.30,1734.00,25705.77,166050.00,3930.00,48589.00
BANKNIFTY,24-Jan-2025,30-Jan-2025,48750.00,48950.00,48252.00,48375.20,48347.50,48375.20,125560.00,914811.80,2249550.00,-69525.00,48367.80
BANKNIFTY,24-Jan-2025,27-Feb-2025,49000.05,49201.00,48585.35,48707.60,48668.50,48707.60,16569.00,242871.82,1441620.00,114450.00,48367.80
BANKNIFTY,24-Jan-2025,27-Mar-2025,49327.60,49550.00,48949.15,49061.15,49049.75,49061.15,2728.00,40272.84,175320.00,9270.00,48367.80
BANKNIFTY,27-Jan-2025,30-Jan-2025,47994.70,48349.90,47722.25,48080.95,48045.00,48080.95,106697.00,770092.91,2091780.00,-157770.00,48064.65
BANKNIFTY,27-Jan-2025,27-Feb-2025,48550.00,48660.00,48266.00,48405.20,48355.00,48405.20,24161.00,351133.99,1736430.00,294810.00,48064.65
BANKNIFTY,27-Jan-2025,27-Mar-2025,48700.00,49000.00,48633.35,48748.15,48714.15,48748.15,2633.00,38527.55,185070.00,9750.00,48064.65
BANKNIFTY,28-Jan-2025,30-Jan-2025,48610.00,49213.95,48417.70,48828.90,48855.10,48828.90,140393.00,1029184.89,1485525.00,-606255.00,48866.85
BANKNIFTY,28-Jan-2025,27-Feb-2025,48720.00,49513.00,48664.15,49157.40,49192.00,49157.40,42322.00,624568.59,2029980.00,293550.00,48866.85
BANKNIFTY,28-Jan-2025,27-Mar-2025,49034.15,49830.00,49005.35,49519.25,49556.90,49519.25,3641.00,54106.73,175410.00,-9660.00,48866.85
BANKNIFTY,29-Jan-2025,30-Jan-2025,48926.05,49128.00,48812.10,49082.15,49110.00,49082.15,86619.00,636826.81,1028565.00,-456960.00,49165.95
BANKNIFTY,29-Jan-2025,27-Feb-2025,49300.00,49478.50,49135.00,49435.50,49476.20,49435.50,35523.00,525837.01,2393280.00,363300.00,49165.95
BANKNIFTY,29-Jan-2025,27-Mar-2025,49687.55,49800.00,49513.05,49773.25,49800.00,49773.25,2176.00,32431.52,181590.00,6180.00,49165.95
BANKNIFTY,30-Jan-2025,30-Jan-2025,49080.00,49377.70,49031.40,49289.50,49309.00,49311.95,81853.00,604449.76,827580.00,-200985.00,49311.95
BANKNIFTY,30-Jan-2025,27-Feb-2025,49495.50,49737.00,49357.85,49686.50,49730.90,49686.50,55257.00,822396.06,2925030.00,531750.00,49311.95
BANKNIFTY,30-Jan-2025,27-Mar-2025,49501.25,50093.30,49501.25,50044.15,50085.00,50044.15,3458.00,51825.77,212880.00,31290.00,49311.95
BANKNIFTY,31-Jan-2025,27-Feb-2025,49700.00,49995.00,49364.50,49862.00,49882.05,49862.00,67359.00,1004054.54,3110100.00,185070.00,49587.20
BANKNIFTY,31-Jan-2025,27-Mar-2025,50052.15,50340.00,49733.00,50224.30,50240.00,50224.30,4768.00,71532.63,244950.00,32070.00,49587.20
BANKNIFTY,31-Jan-2025,24-Apr-2025,50146.25,50657.60,50070.90,50562.40,50595.00,50562.40,1132.00,17106.11,8670.00,8670.00,49587.20
BANKNIFTY,01-Feb-2025,27-Feb-2025,49720.00,50250.00,49151.30,49768.60,49774.95,49768.60,98162.00,1465573.94,3153690.00,43590.00,49506.95
BANKNIFTY,01-Feb-2025,27-Mar-2025,50150.05,50582.25,49504.25,50105.00,50111.00,50105.00,8704.00,130890.08,316980.00,72030.00,49506.95
BANKNIFTY,01-Feb-2025,24-Apr-2025,50562.40,50900.00,49870.75,50440.45,50405.70,50440.45,1579.00,23888.18,14760.00,6090.00,49506.95
BANKNIFTY,03-Feb-2025,27-Feb-2025,49294.70,49645.00,49200.00,49505.15,49505.05,49505.15,46971.00,696511.33,3088260.00,-65430.00,49210.55
BANKNIFTY,03-Feb-2025,27-Mar-2025,49680.00,49989.60,49555.75,49847.35,49841.00,49847.35,3281.00,48983.78,320790.00,3810.00,49210.55
BANKNIFTY,03-Feb-2025,24-Apr-2025,50250.00,50305.20,49888.25,50165.00,50165.00,50165.00,1148.00,17250.55,19260.00,4500.00,49210.55
BANKNIFTY,04-Feb-2025,27-Feb-2025,49702.05,50360.95,49700.00,50315.55,50325.00,50315.55,80654.00,1212425.22,2712030.00,-376230.00,-
