Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,07-May-2024,26-Jun-2024,49300.00,49337.60,48560.00,48622.80,48600.00,48622.80,16284.00,119200.17,260175.00,-18390.00,48285.35
BANKNIFTY,07-May-2024,31-Jul-2024,49590.00,49590.00,48844.55,48889.45,48885.00,48889.45,3000.00,22083.55,49200.00,7905.00,48285.35
BANKNIFTY,08-May-2024,29-May-2024,48299.00,48354.10,48011.40,48175.90,48221.00,48175.90,160626.00,1161473.89,2203545.00,20250.00,48021.10
BANKNIFTY,08-May-2024,26-Jun-2024,48444.05,48620.00,48300.00,48462.95,48490.00,48462.95,12917.00,93951.15,260535.00,360.00,48021.10
BANKNIFTY,08-May-2024,31-Jul-2024,48800.00,48890.00,48580.00,48739.85,48748.35,48739.85,1849.00,13524.31,55890.00,6690.00,48021.10
BANKNIFTY,09-May-2024,29-May-2024,48235.00,48367.25,47636.00,47669.20,47668.00,47669.20,163792.00,1177654.42,2397975.00,194430.00,47487.90
BANKNIFTY,09-May-2024,26-Jun-2024,48500.00,48637.95,47910.40,47953.15,47955.00,47953.15,20690.00,149422.12,287385.00,26850.00,47487.90
BANKNIFTY,09-May-2024,31-Jul-2024,48739.85,48899.95,48204.75,48244.70,48224.00,48244.70,2564.00,18642.09,66225.00,10335.00,47487.90
BANKNIFTY,10-May-2024,29-May-2024,47706.00,48090.00,47479.85,47607.25,47612.40,47607.25,135053.00,967711.78,2373555.00,-24420.00,-
BANKNIFTY,10-May-2024,26-Jun-2024,48000.00,48369.70,47789.00,47911.80,47904.95,47911.80,14885.00,107303.57,316530.00,29145.00,-
BANKNIFTY,10-May-2024,31-Jul-2024,48299.95,48663.95,48080.00,48206.90,48191.75,48206.90,2063.00,14964.66,69180.00,2955.00,-
BANKNIFTY,13-May-2024,29-May-2024,47600.00,48075.00,47200.00,48003.70,48075.00,48003.70,189173.00,1351548.50,2284845.00,-88710.00,47754.10
BANKNIFTY,13-May-2024,26-Jun-2024,47800.00,48360.00,47523.10,48296.45,48349.50,48296.45,23855.00,171446.90,319035.00,2505.00,47754.10
BANKNIFTY,13-May-2024,31-Jul-2024,48019.55,48645.65,47802.00,48592.15,48645.65,48592.15,2929.00,21175.52,70155.00,975.00,47754.10
BANKNIFTY,14-May-2024,29-May-2024,48075.00,48225.00,47825.10,48091.65,48074.95,48091.65,115093.00,829126.34,2344830.00,59985.00,47859.45
BANKNIFTY,14-May-2024,26-Jun-2024,48302.70,48489.95,48125.00,48390.65,48395.00,48390.65,13131.00,95165.36,322200.00,3165.00,47859.45
BANKNIFTY,14-May-2024,31-Jul-2024,48670.35,48760.00,48421.00,48700.70,48700.00,48700.70,1832.00,13364.90,76440.00,6285.00,47859.45
BANKNIFTY,15-May-2024,29-May-2024,48091.65,48145.15,47731.00,47908.55,47910.00,47908.55,131852.00,947459.83,2449620.00,104790.00,47687.45
BANKNIFTY,15-May-2024,26-Jun-2024,48422.85,48434.05,48055.75,48221.65,48227.05,48221.65,13135.00,94999.97,352515.00,30315.00,47687.45
BANKNIFTY,15-May-2024,31-Jul-2024,48983.75,48983.75,48362.05,48539.50,48547.95,48539.50,1851.00,13472.36,88080.00,11640.00,47687.45
BANKNIFTY,16-May-2024,29-May-2024,48047.90,48175.00,47063.65,48092.35,48140.00,48092.35,220422.00,1582358.73,2399610.00,-50010.00,-
BANKNIFTY,16-May-2024,26-Jun-2024,48350.00,48466.90,47610.00,48390.20,48425.60,48390.20,26524.00,191621.56,377655.00,25140.00,-
BANKNIFTY,16-May-2024,31-Jul-2024,48700.00,48765.00,48068.00,48688.55,48746.95,48688.55,3982.00,28969.03,86235.00,-1845.00,-
BANKNIFTY,17-May-2024,29-May-2024,48140.05,48348.00,47930.00,48195.10,48231.00,48195.10,114950.00,830501.81,2410515.00,10905.00,48115.65
BANKNIFTY,17-May-2024,26-Jun-2024,48366.00,48600.00,48247.00,48514.70,48513.05,48514.70,19457.00,141425.70,398400.00,20745.00,48115.65
BANKNIFTY,17-May-2024,31-Jul-2024,48700.05,48887.70,48553.30,48810.45,48833.00,48810.45,2416.00,17685.26,94545.00,8310.00,48115.65
BANKNIFTY,18-May-2024,29-May-2024,48299.00,48300.05,48163.55,48288.10,48280.90,48288.10,12873.00,93197.95,2389110.00,-21405.00,-
BANKNIFTY,18-May-2024,26-Jun-2024,48561.25,48590.00,48505.10,48575.45,48583.50,48575.45,4494.00,32736.72,406920.00,8520.00,-
BANKNIFTY,18-May-2024,31-Jul-2024,48889.00,48900.00,48795.80,48892.05,48895.00,48892.05,307.00,2250.64,93720.00,-825.00,-
BANKNIFTY,21-May-2024,29-May-2024,48174.10,48420.00,48054.00,48153.10,48096.00,48153.10,123612.00,893952.74,2395755.00,6645.00,48048.20
BANKNIFTY,21-May-2024,26-Jun-2024,48497.90,48715.95,48378.20,48463.40,48420.55,48463.40,16470.00,119914.28,455340.00,48420.00,48048.20
BANKNIFTY,21-May-2024,31-Jul-2024,48849.95,48999.00,48704.95,48768.25,48738.15,48768.25,3189.00,23357.56,77610.00,-16110.00,48048.20
BANKNIFTY,22-May-2024,29-May-2024,48190.00,48193.00,47611.10,47974.10,48071.00,47974.10,239308.00,1720228.47,2251950.00,-143805.00,47781.95
BANKNIFTY,22-May-2024,26-Jun-2024,48460.00,48500.65,47942.00,48299.05,48391.00,48299.05,33949.00,245599.92,554295.00,98955.00,47781.95
BANKNIFTY,22-May-2024,31-Jul-2024,48864.05,48864.05,48290.00,48635.90,48710.00,48635.90,3010.00,21922.19,90855.00,13245.00,47781.95
BANKNIFTY,23-May-2024,29-May-2024,48055.30,48924.45,48000.00,48838.65,48860.00,48838.65,222373.00,1619809.37,2175585.00,-76365.00,48768.60
BANKNIFTY,23-May-2024,26-Jun-2024,48325.20,49184.90,48301.25,49114.40,49138.75,49114.40,47922.00,351167.63,620025.00,65730.00,48768.60
BANKNIFTY,23-May-2024,31-Jul-2024,48500.00,49475.00,48500.00,49417.15,49433.00,49417.15,5296.00,39043.28,86235.00,-4620.00,48768.60
BANKNIFTY,24-May-2024,29-May-2024,48838.65,49115.90,48702.05,49045.15,49044.90,49045.15,146710.00,1076220.22,2121990.00,-53595.00,48971.65
BANKNIFTY,24-May-2024,26-Jun-2024,49165.00,49420.00,49015.00,49341.95,49320.00,49341.95,51878.00,383100.72,787830.00,167805.00,48971.65
BANKNIFTY,24-May-2024,31-Jul-2024,49300.00,49717.00,49300.00,49643.05,49644.45,49643.05,2947.00,21901.97,89385.00,3150.00,48971.65
BANKNIFTY,27-May-2024,29-May-2024,49124.00,49840.00,49050.00,49297.50,49335.00,49297.50,158904.00,1178878.30,1731435.00,-390555.00,49281.80
BANKNIFTY,27-May-2024,26-Jun-2024,49474.70,50098.90,49346.40,49593.95,49638.00,49593.95,87285.00,651843.27,896715.00,108885.00,49281.80
BANKNIFTY,27-May-2024,31-Jul-2024,49749.85,50400.00,49620.15,49866.80,49910.00,49866.80,7934.00,59558.68,99090.00,9705.00,49281.80
BANKNIFTY,28-May-2024,29-May-2024,49400.00,49537.40,49106.30,49182.80,49131.65,49182.80,129177.00,954743.10,1382985.00,-348450.00,49142.15
BANKNIFTY,28-May-2024,26-Jun-2024,49644.15,49819.95,49440.00,49530.25,49489.30,49530.25,76367.00,568183.19,1367955.00,471240.00,49142.15
BANKNIFTY,28-May-2024,31-Jul-2024,49866.85,50100.00,49714.65,49783.45,49760.00,49783.45,3383.00,25319.42,99405.00,315.00,49142.15
BANKNIFTY,29-May-2024,29-May-2024,48948.90,49054.65,48423.80,48491.35,48505.00,48501.35,180597.00,1317469.63,1104195.00,-278790.00,48501.35
BANKNIFTY,29-May-2024,26-Jun-2024,49344.85,49411.25,48905.95,49011.15,49079.00,49011.15,193345.00,1423242.64,2183925.00,815970.00,48501.35
BANKNIFTY,29-May-2024,31-Jul-2024,49650.00,49695.00,49210.00,49310.65,49367.25,49310.65,7420.00,54947.62,126195.00,26790.00,48501.35
BANKNIFTY,30-May-2024,26-Jun-2024,48990.00,49480.00,48810.00,49037.40,49130.00,49037.40,235085.00,1732826.19,2447355.00,263430.00,48682.35
BANKNIFTY,30-May-2024,31-Jul-2024,49199.95,49775.00,49160.35,49351.00,49460.00,49351.00,11287.00,83691.88,126810.00,615.00,48682.35
BANKNIFTY,30-May-2024,28-Aug-2024,49599.95,50013.85,49482.00,49617.00,49775.00,49617.00,1617.00,12051.99,6390.00,6390.00,48682.35
BANKNIFTY,31-May-2024,26-Jun-2024,49200.00,49444.00,48850.25,49352.35,49380.00,49352.35,221491.00,1634155.02,2267760.00,-179595.00,48983.95
BANKNIFTY,31-May-2024,31-Jul-2024,49550.00,49739.05,49171.00,49657.10,49698.00,49657.10,10045.00,74583.18,134550.00,7740.00,48983.95
BANKNIFTY,31-May-2024,28-Aug-2024,49804.90,50020.00,49496.00,49960.30,49980.00,49960.30,1764.00,13168.59,11310.00,4920.00,48983.95
BANKNIFTY,03-Jun-2024,26-Jun-2024,50606.05,51486.00,50352.00,51283.05,51475.00,51283.05,290644.00,2218164.27,2275995.00,8235.00,50979.95
BANKNIFTY,03-Jun-2024,31-Jul-2024,50803.25,51754.20,50562.50,51561.25,51743.40,51561.25,17374.00,133291.56,151500.00,16950.00,50979.95
BANKNIFTY,03-Jun-2024,28-Aug-2024,51600.00,52050.00,50929.95,51880.60,52011.00,51880.60,4039.00,31184.46,35175.00,23865.00,50979.95
BANKNIFTY,04-Jun-2024,26-Jun-2024,50800.00,51098.00,46184.95,47088.55,47295.50,47088.55,686297.00,4974240.58,2472780.00,196785.00,46928.60
BANKNIFTY,04-Jun-2024,31-Jul-2024,51050.05,51409.25,46478.30,47392.30,47546.75,47392.30,54699.00,398690.27,221700.00,70200.00,46928.60
BANKNIFTY,04-Jun-2024,28-Aug-2024,51629.55,51629.55,46781.15,47688.65,47899.00,47688.65,11248.00,82829.71,56955.00,21780.00,46928.60
BANKNIFTY,05-Jun-2024,26-Jun-2024,47400.00,49473.75,46781.70,49117.65,48992.90,49117.65,545887.00,3938130.15,2856570.00,383790.00,49054.60
BANKNIFTY,05-Jun-2024,31-Jul-2024,47692.30,49750.00,47065.05,49395.05,49247.40,49395.05,32219.00,233832.04,208980.00,-12720.00,49054.60
BANKNIFTY,05-Jun-2024,28-Aug-2024,48000.00,50049.95,47400.00,49732.45,49551.00,49732.45,8281.00,60479.06,54735.00,-2220.00,49054.60
BANKNIFTY,06-Jun-2024,26-Jun-2024,49335.30,49751.50,49060.00,49435.75,49430.35,49435.75,235421.00,1745543.64,2641920.00,-214650.00,-
BANKNIFTY,06-Jun-2024,31-Jul-2024,49425.10,50016.90,49339.00,49701.25,49690.00,49701.25,18720.00,139568.10,201825.00,-7155.00,-
BANKNIFTY,06-Jun-2024,28-Aug-2024,49700.00,50303.95,49660.00,49997.55,50000.00,49997.55,4910.00,36831.02,66390.00,11655.00,-
BANKNIFTY,07-Jun-2024,26-Jun-2024,49130.00,50025.00,48547.00,49908.95,49935.00,49908.95,227677.00,1698439.20,2650890.00,8970.00,-
BANKNIFTY,07-Jun-2024,31-Jul-2024,49501.60,50274.20,49500.00,50159.35,50171.10,50159.35,14398.00,108007.38,218640.00,16815.00,-
BANKNIFTY,07-Jun-2024,28-Aug-2024,50000.00,50550.00,49800.00,50448.05,50460.00,50448.05,3829.00,28902.36,66150.00,-240.00,-
BANKNIFTY,10-Jun-2024,26-Jun-2024,49995.50,50289.75,49616.90,49732.20,49649.00,49732.20,179185.00,1342819.15,2473845.00,-177045.00,49780.90
BANKNIFTY,10-Jun-2024,31-Jul-2024,50200.00,50522.70,49881.40,49986.20,49882.00,49986.20,16232.00,122237.79,236085.00,17445.00,49780.90
BANKNIFTY,10-Jun-2024,28-Aug-2024,50550.00,50800.00,50184.00,50261.00,50200.00,50261.00,3255.00,24650.60,70155.00,4005.00,49780.90
BANKNIFTY,11-Jun-2024,26-Jun-2024,49639.90,50080.00,49572.00,49768.75,49735.00,49768.75,149156.00,1115437.24,2491245.00,17400.00,49705.75
BANKNIFTY,11-Jun-2024,31-Jul-2024,49950.00,50325.00,49852.00,50030.60,50009.15,50030.60,11671.00,87734.52,247530.00,11445.00,49705.75
BANKNIFTY,11-Jun-2024,28-Aug-2024,50260.65,50593.60,50149.15,50310.90,50300.00,50310.90,2398.00,18119.26,71160.00,1005.00,49705.75
BANKNIFTY,12-Jun-2024,26-Jun-2024,49791.95,50289.95,49739.80,49914.95,49876.00,49914.95,192343.00,1443246.93,2358705.00,-132540.00,49895.10
BANKNIFTY,12-Jun-2024,31-Jul-2024,50000.00,50547.00,50000.00,50164.10,50145.70,50164.10,18127.00,136820.69,271155.00,23625.00,49895.10
BANKNIFTY,12-Jun-2024,28-Aug-2024,50310.90,50792.00,50268.75,50427.15,50395.00,50427.15,3405.00,25833.11,81045.00,9885.00,49895.10
BANKNIFTY,13-Jun-2024,26-Jun-2024,50101.00,50155.80,49850.40,49912.65,49923.25,49912.65,94870.00,711445.97,2328120.00,-30585.00,-
BANKNIFTY,13-Jun-2024,31-Jul-2024,50255.15,50415.00,50115.00,50161.20,50180.00,50161.20,9580.00,72211.13,276360.00,5205.00,-
BANKNIFTY,13-Jun-2024,28-Aug-2024,50550.00,50684.25,50395.00,50424.35,50455.00,50424.35,1539.00,11662.65,82185.00,1140.00,-
BANKNIFTY,14-Jun-2024,26-Jun-2024,50000.00,50175.00,49750.00,50042.40,50035.00,50042.40,113522.00,851610.44,2366175.00,38055.00,-
BANKNIFTY,14-Jun-2024,31-Jul-2024,50184.85,50425.00,50002.05,50297.45,50288.00,50297.45,11548.00,87061.73,282060.00,5700.00,-
BANKNIFTY,14-Jun-2024,28-Aug-2024,50498.10,50683.95,50292.75,50560.80,50540.00,50560.80,2081.00,15771.53,84720.00,2535.00,-
BANKNIFTY,18-Jun-2024,26-Jun-2024,50190.85,50449.00,49990.00,50417.35,50434.95,50417.35,131694.00,993399.49,2458050.00,91875.00,50440.90
BANKNIFTY,18-Jun-2024,31-Jul-2024,50350.00,50700.00,50240.05,50662.40,50675.00,50662.40,16298.00,123545.69,312450.00,30390.00,50440.90
BANKNIFTY,18-Jun-2024,28-Aug-2024,50700.00,50936.45,50520.00,50908.75,50905.10,50908.75,3564.00,27156.98,97380.00,12660.00,50440.90
BANKNIFTY,19-Jun-2024,26-Jun-2024,50462.25,51885.55,50444.10,51353.40,51435.00,51353.40,389687.00,2990411.34,2405985.00,-52065.00,51398.05
BANKNIFTY,19-Jun-2024,31-Jul-2024,50709.95,52080.00,50686.20,51563.00,51660.00,51563.00,72790.00,561467.08,529365.00,216915.00,51398.05
BANKNIFTY,19-Jun-2024,28-Aug-2024,50999.00,52315.00,50939.05,51833.60,51900.00,51833.60,14037.00,108757.51,189630.00,92250.00,51398.05
BANKNIFTY,20-Jun-2024,26-Jun-2024,51630.90,51800.00,51212.00,51755.10,51775.00,51755.10,159403.00,1232756.37,2233530.00,-172455.00,51783.25
BANKNIFTY,20-Jun-2024,31-Jul-2024,51680.00,51949.80,51421.00,51904.45,51910.00,51904.45,44487.00,345229.56,662880.00,133515.00,51783.25
BANKNIFTY,20-Jun-2024,28-Aug-2024,51900.00,52205.45,51680.05,52160.20,52150.00,52160.20,5785.00,45143.93,216660.00,27030.00,51783.25
BANKNIFTY,21-Jun-2024,26-Jun-2024,51821.00,51821.00,51273.50,51613.35,51600.00,51613.35,174265.00,1347291.50,2040525.00,-193005.00,51661.45
BANKNIFTY,21-Jun-2024,31-Jul-2024,51910.00,51966.35,51470.00,51770.80,51740.00,51770.80,56544.00,438570.50,657870.00,-5010.00,51661.45
BANKNIFTY,21-Jun-2024,28-Aug-2024,52219.95,52219.95,51730.10,52021.20,51973.10,52021.20,4893.00,38137.49,215955.00,-705.00,51661.45
