Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,10-Jul-2024,31-Jul-2024,52542.05,52606.55,52204.90,52318.60,52325.00,52318.60,157325.00,1234943.50,2347095.00,-230910.00,52189.30
BANKNIFTY,10-Jul-2024,28-Aug-2024,52893.65,52893.65,52430.15,52531.70,52530.00,52531.70,9537.00,75158.37,310620.00,-23880.00,52189.30
BANKNIFTY,10-Jul-2024,25-Sep-2024,53114.15,53114.15,52745.00,52828.75,52830.00,52828.75,2274.00,18027.75,54150.00,4305.00,52189.30
BANKNIFTY,11-Jul-2024,31-Jul-2024,52399.95,52495.00,51860.00,52439.45,52450.05,52439.45,179297.00,1403879.55,2178225.00,-168870.00,52270.65
BANKNIFTY,11-Jul-2024,28-Aug-2024,52600.00,52689.00,52110.00,52641.60,52650.00,52641.60,12332.00,96911.14,284490.00,-26130.00,52270.65
BANKNIFTY,11-Jul-2024,25-Sep-2024,52824.05,52995.00,52424.00,52930.75,52943.00,52930.75,2995.00,23683.39,57345.00,3195.00,52270.65
BANKNIFTY,12-Jul-2024,31-Jul-2024,52466.40,52847.15,52270.00,52366.90,52372.00,52366.90,162798.00,1282608.83,2085855.00,-92370.00,52278.90
BANKNIFTY,12-Jul-2024,28-Aug-2024,52600.00,53021.00,52475.05,52560.35,52587.65,52560.35,10002.00,79106.38,284400.00,-90.00,52278.90
BANKNIFTY,12-Jul-2024,25-Sep-2024,52930.75,53299.95,52801.00,52880.20,52907.10,52880.20,2933.00,23331.07,59730.00,2385.00,52278.90
BANKNIFTY,15-Jul-2024,31-Jul-2024,52394.00,52721.35,52238.05,52630.15,52650.00,52630.15,139760.00,1100672.96,2177985.00,92130.00,-
BANKNIFTY,15-Jul-2024,28-Aug-2024,52644.95,52870.00,52450.00,52792.00,52811.00,52792.00,7854.00,62053.28,298860.00,14460.00,-
BANKNIFTY,15-Jul-2024,25-Sep-2024,52907.10,53159.95,52758.85,53077.45,53103.55,53077.45,2425.00,19270.00,63690.00,3960.00,-
BANKNIFTY,16-Jul-2024,31-Jul-2024,52650.00,52719.75,52448.30,52529.05,52548.30,52529.05,85953.00,677542.34,2084670.00,-93315.00,52396.80
BANKNIFTY,16-Jul-2024,28-Aug-2024,52811.00,52884.95,52626.00,52708.00,52724.95,52708.00,5259.00,41594.22,300990.00,2130.00,52396.80
