Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
25-Jul-25,SYNGENE,681.1,669.75,  0.0168,  0.0178,  0.0178,  0.3403,682.45,671.95,  0.0155,  0.0178,  0.0178,  0.3392,  0.0178,  0.3403
25-Jul-25,TATACHEM,941.45,946.4, -0.0052,  0.0184,  0.0184,  0.3506,945.55,947, -0.0015,  0.0187,  0.0186,  0.3562,  0.0186,  0.3562
25-Jul-25,TATACOMM,1728.8,1728.5,  0.0002,  0.0173,  0.0172,  0.3291,1731.7,1731.7,  0.0000,  0.0174,  0.0174,  0.3317,  0.0174,  0.3317
25-Jul-25,TATACONSUM,1054.4,1072.8, -0.0173,  0.0148,  0.0148,  0.2823,1054.1,1075.7, -0.0203,  0.0145,  0.0145,  0.2769,  0.0148,  0.2823
25-Jul-25,TATAELXSI,6062,6226, -0.0267,  0.0197,  0.0197,  0.3766,6059.5,6235.5, -0.0286,  0.0202,  0.0202,  0.3866,  0.0202,  0.3866
25-Jul-25,TATAMOTORS,687.4,700.5, -0.0189,  0.0190,  0.0190,  0.3637,687.7,702.4, -0.0212,  0.0191,  0.0191,  0.3643,  0.0191,  0.3643
25-Jul-25,TATAPOWER,395.35,400.7, -0.0134,  0.0188,  0.0188,  0.3588,395.05,400.85, -0.0146,  0.0192,  0.0192,  0.3671,  0.0192,  0.3671
25-Jul-25,TATASTEEL,161.43,163.48, -0.0126,  0.0182,  0.0182,  0.3481,161.61,163.99, -0.0146,  0.0184,  0.0184,  0.3514,  0.0184,  0.3514
25-Jul-25,TATATECH,708.35,718.15, -0.0137,  0.0167,  0.0167,  0.3183,707.7,718.35, -0.0149,  0.0172,  0.0172,  0.3290,  0.0172,  0.3290
25-Jul-25,TCS,3135.8,3148.2, -0.0039,  0.0130,  0.0129,  0.2472,3133.9,3148.9, -0.0048,  0.0126,  0.0126,  0.2405,  0.0129,  0.2472
25-Jul-25,TECHM,1461.9,1498.6, -0.0248,  0.0164,  0.0165,  0.3148,1461.4,1500.2, -0.0262,  0.0161,  0.0162,  0.3096,  0.0165,  0.3148
25-Jul-25,TIINDIA,2889,2933.1, -0.0151,  0.0234,  0.0234,  0.4461,2882.6,2933.5, -0.0175,  0.0234,  0.0234,  0.4466,  0.0234,  0.4466
25-Jul-25,TITAGARH,874.7,904.85, -0.0339,  0.0307,  0.0308,  0.5876,873.5,904.9, -0.0353,  0.0314,  0.0314,  0.5999,  0.0314,  0.5999
25-Jul-25,TITAN,3462.8,3484.4, -0.0062,  0.0143,  0.0143,  0.2736,3459.2,3485.6, -0.0076,  0.0141,  0.0141,  0.2691,  0.0143,  0.2736
25-Jul-25,TORNTPHARM,3603.8,3519.8,  0.0236,  0.0143,  0.0143,  0.2740,3603.2,3530.6,  0.0204,  0.0141,  0.0141,  0.2692,  0.0143,  0.2740
25-Jul-25,TORNTPOWER,1325.5,1356.4, -0.0230,  0.0239,  0.0239,  0.4569,1326,1356.1, -0.0224,  0.0240,  0.0240,  0.4582,  0.0240,  0.4582
25-Jul-25,TRENT,5043,5154, -0.0218,  0.0257,  0.0257,  0.4915,5054.5,5166.5, -0.0219,  0.0258,  0.0258,  0.4930,  0.0258,  0.4930
25-Jul-25,TVSMOTOR,2774.4,2797.7, -0.0084,  0.0170,  0.0170,  0.3249,2778.7,2800.8, -0.0079,  0.0170,  0.0169,  0.3233,  0.0170,  0.3249
